"","등록번호","조사기관","조사의뢰자","시작일","종료일","URL"
"1",12677,"에브리리서치","뉴스피릿",2024-03-01,2024-03-02,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14317&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12667,"리서치뷰","리서치뷰",2024-02-27,2024-02-29,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14305&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12631,"한국리서치","KBS",2024-02-25,2024-02-27,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14297&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",12600,"여론조사공정","파이낸스투데이",2024-02-26,2024-02-27,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14290&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",12540,"메타보이스","JTBC",2024-02-24,2024-02-25,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14276&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",12502,"여론조사꽃","여론조사꽃",2024-02-23,2024-02-24,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14270&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",12501,"여론조사꽃","여론조사꽃",2024-02-23,2024-02-24,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14269&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",12499,"여론조사공정","파이낸스투데이",2024-02-22,2024-02-23,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14267&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",12498,"한국갤럽","서울경제",2024-02-22,2024-02-23,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14266&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",12470,"코리아리서치인터내셔널","전국지표조사(NBS)",2024-02-19,2024-02-21,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14077&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",12459,"여론조사공정","데일리안",2024-02-19,2024-02-20,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14064&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",12458,"리얼미터","뉴스피릿",2024-02-16,2024-02-18,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14047&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"13",12457,"조원씨앤아이","스트레이트뉴스",2024-02-17,2024-02-19,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14063&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"14",12456,"한길리서치","쿠키뉴스",2024-02-17,2024-02-19,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14062&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"15",12443,"엠브레인","YTN",2024-02-18,2024-02-19,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14046&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"16",12441,"미디어토마토","뉴스토마토",2024-02-17,2024-02-18,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14044&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
