"","등록번호","조사기관","조사의뢰자","시작일","종료일","URL"
"1",12697,"한국갤럽","한국갤럽",2024-03-05,2024-03-07,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14338&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12695,"엠브레인","전국지표조사(NBS)",2024-03-04,2024-03-06,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14335&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12694,"알앤써치","알앤써치",2024-03-05,2024-03-06,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14334&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",12693,"한국리서치","코리아타임스",2024-03-04,2024-03-05,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14330&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",12689,"여론조사공정","데일리안",2024-03-04,2024-03-05,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14328&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",12687,"메트릭스","연합뉴스",2024-03-02,2024-03-03,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14325&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",12686,"한길리서치","아주경제",2024-03-03,2024-03-04,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14326&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",12682,"엠브레인","YTN",2024-03-03,2024-03-04,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14321&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",12681,"미디어토마토","뉴스토마토",2024-03-02,2024-03-03,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14320&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",12677,"에브리리서치","뉴스피릿",2024-03-01,2024-03-02,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14317&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",12667,"리서치뷰","리서치뷰",2024-02-27,2024-02-29,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14305&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",12631,"한국리서치","KBS",2024-02-25,2024-02-27,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14297&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"13",12600,"여론조사공정","파이낸스투데이",2024-02-26,2024-02-27,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14290&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"14",12540,"메타보이스","JTBC",2024-02-24,2024-02-25,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14276&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"15",12502,"여론조사꽃","여론조사꽃",2024-02-23,2024-02-24,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14270&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"16",12501,"여론조사꽃","여론조사꽃",2024-02-23,2024-02-24,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14269&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"17",12499,"여론조사공정","파이낸스투데이",2024-02-22,2024-02-23,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14267&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"18",12498,"한국갤럽","서울경제",2024-02-22,2024-02-23,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14266&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
